"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"AU","AngloGold Ashanti Limited","13.24","5101475907.52","n/a","South Africa","1987","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/au",
"DRD","DRDGOLD Limited","5.7","219668743.2","n/a","South Africa","1998","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/drd",
"GFI","Gold Fields Limited","4.59","3380820686.19","n/a","South Africa","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gfi",
"HMY","Harmony Gold Mining Company Limited","3.44","1497286457.04","n/a","South Africa","1972","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/hmy",
"UEPS","Net 1 UEPS Technologies, Inc.","12.16","554405408","n/a","South Africa","2005","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ueps",
"SPP","Sappi Limited","2.49","1298535000","n/a","South Africa","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/spp",
"SSL","Sasol Ltd.","47.93","31112411756.33","n/a","South Africa","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ssl",
"SBGL","Sibanye Gold Limited","5.32","975692713.52","n/a","South Africa","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/sbgl",
