"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"BHP","BHP Billiton Limited","67.15","179554955434.85","n/a","Australia","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/bhp",
"IOC","InterOil Corporation","72.5","3538923795","n/a","Australia","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ioc",
"NVGN","Novogen Limited","4.09","16982608.43","n/a","Australia","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nvgn",
"OBT","Orbital Corporation Limited","2.4301","7400028.7354","n/a","Australia","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/obt",
"PRAN","Prana Biotechnology Ltd","4.2","160276376.4","n/a","Australia","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pran",
"PBMD","Prima BioMed Ltd","1.18","41931826.28","n/a","Australia","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pbmd",
"WBK","Westpac Banking Corporation","31.1","96525974388","n/a","Australia","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/wbk",
